PROV29;Emmalgai;Emmalgai;Emmalgai;Emmalgai;Emmalgai;Emmalgai;Emmalgai;Emmalgai;Emmalgai;Emmalgai;Emmalgai;Emmalgai;Emmalgai;x
PROV141;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;x
PROV254;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;x
PROV255;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;x
PROV256;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;x
PROV257;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;x
PROV258;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;x
PROV259;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;x
PROV260;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;x
PROV261;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;x
PROV262;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;x
PROV263;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;x
PROV264;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;x
PROV265;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;x
PROV266;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;Obar Deathain;x
PROV269;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;Dún Éideann;x
PROV271;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;Glaschú;x
PROV277;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;Learpholl;x
PROV278;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;Manchain;x
PROV280;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;An Caisleán;x
PROV305;Drontheim;Drontheim;Drontheim;Drontheim;Drontheim;Drontheim;Drontheim;Drontheim;Drontheim;Drontheim;Drontheim;Drontheim;Drontheim;x
PROV334;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;Ellenbogen;x
PROV345;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;x
PROV366;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;x
PROV371;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;x
PROV372;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;Kaufmannshafen;x
PROV373;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;x
PROV393;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;Doornijk;x
PROV400;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;Duunkerke;x
PROV401;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;Arracht;x
PROV445;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;x
PROV454;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;x
PROV458;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;x
PROV467;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;Marselha;x
PROV468;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;Avinhon;x
PROV575;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;x
PROV577;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;x
PROV604;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;x
PROV630;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;Budweis;x
PROV631;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;Brünn;x
PROV640;Beci;Beci;Beci;Beci;Beci;Beci;Beci;Beci;Beci;Beci;Beci;Beci;Beci;x
PROV650;Bichisciaba;Bichisciaba;Bichisciaba;Bichisciaba;Bichisciaba;Bichisciaba;Bichisciaba;Bichisciaba;Bichisciaba;Bichisciaba;Bichisciaba;Bichisciaba;Bichisciaba;x
PROV652;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;x
PROV657;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;x
PROV659;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;x
PROV661;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;x
PROV662;Chernivtsi;Chernivtsi;Chernivtsi;Chernivtsi;Chernivtsi;Chernivtsi;Chernivtsi;Chernivtsi;Chernivtsi;Chernivtsi;Chernivtsi;Chernivtsi;Chernivtsi;x
PROV719;Bilostok;Bilostok;Bilostok;Bilostok;Bilostok;Bilostok;Bilostok;Bilostok;Bilostok;Bilostok;Bilostok;Bilostok;Bilostok;x
PROV745;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;x
PROV748;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;x
PROV828;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;x
PROV853;Ljurocastru;Ljurocastru;Ljurocastru;Ljurocastru;Ljurocastru;Ljurocastru;Ljurocastru;Ljurocastru;Ljurocastru;Ljurocastru;Ljurocastru;Ljurocastru;Ljurocastru;x
PROV860;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;x
PROV958;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;x
PROV962;Chernihiv;Chernihiv;Chernihiv;Chernihiv;Chernihiv;Chernihiv;Chernihiv;Chernihiv;Chernihiv;Chernihiv;Chernihiv;Chernihiv;Chernihiv;x
PROV2533;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;x
